name,category,latitude,longitude,price_min,price_max,price_type,city,country,description
Martyrs Memorial Monument,history,13.4920,39.4620,50,200,entry,Mekelle,Ethiopia,War memorial and museum.
Abraha Castle,history,13.4850,39.4850,100,200,entry,Mekelle,Ethiopia,Historic hilltop castle.
Romanat Falls,nature,13.5500,39.4200,0,100,informal,Mekelle,Ethiopia,Waterfall near the city.
Chom'a Hill,nature,13.4750,39.4550,0,0,free,Mekelle,Ethiopia,Hiking and viewpoint hill.
Mekelle Planetarium,science,13.4860,39.4640,50,200,entry,Mekelle,Ethiopia,Science and astronomy center.
Nairobi National Park,nature,-1.3733,36.8589,4500,12000,entry,Nairobi,Kenya,Wildlife park inside the capital; non-resident adult fees recently ~USD 45–80+ (or higher in high season; check KWS for latest).
Giraffe Centre,nature,-1.3768,36.7444,1000,2000,entry,Nairobi,Kenya,Conservation center where you can feed Rothschild giraffes.
David Sheldrick Wildlife Trust,nature,-1.3770,36.7730,1000,2000,donation,Nairobi,Kenya,Elephant orphanage; entry by donation/booking.
Karen Blixen Museum,history,-1.3591,36.7128,800,1500,entry,Nairobi,Kenya,Historic home of the Out of Africa author.
Bomas of Kenya,culture,-1.3397,36.7708,800,2000,entry,Nairobi,Kenya,Cultural dances and traditional homesteads.
Nairobi National Museum,culture,-1.2741,36.8143,800,1500,entry,Nairobi,Kenya,Kenya’s main heritage museum.
Karura Forest,nature,-1.2335,36.8242,200,800,entry,Nairobi,Kenya,Urban forest with trails, waterfalls and caves.
KICC Rooftop,relaxation,-1.2885,36.8232,300,800,entry,Nairobi,Kenya,Kenya International Conference Centre rooftop with 360° views.
Nairobi Arboretum,nature,-1.2760,36.8050,0,200,entry,Nairobi,Kenya,Peaceful tree park.
Kazuri Beads Factory,art,-1.3450,36.7150,0,0,free,Nairobi,Kenya,Artisan workshop supporting women.
August 7th Memorial Park,history,-1.2858,36.8275,100,400,entry,Nairobi,Kenya,Memorial for 1998 embassy bombing.
Nairobi Animal Orphanage,nature,-1.3650,36.8500,300,800,entry,Nairobi,Kenya,Wildlife rehabilitation center.
Uhuru Park,relaxation,-1.2890,36.8170,0,0,free,Nairobi,Kenya,Central public park.
Maasai Market,shopping,-1.2860,36.8200,0,0,free,Nairobi,Kenya,Open crafts market (prices negotiable).
Railway Museum,history,-1.2917,36.8224,400,800,entry,Nairobi,Kenya,Colonial-era railway history.
Oloolua Nature Trail,nature,-1.3550,36.7080,200,600,entry,Nairobi,Kenya,Forest trail with waterfall and caves.
Mamba Village Nairobi,nature,-1.3480,36.7880,200,600,entry,Nairobi,Kenya,Crocodile farm with shows.
GP Karting,relaxation,-1.3150,36.8050,1000,2500,activity,Nairobi,Kenya,Go-kart racing.
Village Market,shopping,-1.2290,36.8040,0,0,free,Nairobi,Kenya,Modern shopping complex.
Snake Park,nature,-1.2745,36.8140,300,800,entry,Nairobi,Kenya,Reptile exhibit next to the museum.
Fort Jesus,history,-4.0664,39.6795,1200,2000,entry,Mombasa,Kenya,UNESCO Portuguese fort and museum; non-resident adult ~KES 1200 or USD 15 (varies by category).
Haller Park,nature,-3.9990,39.7180,800,1500,entry,Mombasa,Kenya,Reclaimed quarry wildlife park.
Old Town Mombasa,culture,-4.0630,39.6780,0,0,free,Mombasa,Kenya,Historic Swahili district (walking tour recommended).
Mombasa Marine National Park,nature,-4.0200,39.7400,1500,3000,entry+boat,Mombasa,Kenya,Marine reserve for snorkeling; boat costs extra.
Mombasa Tusks,culture,-4.0570,39.6640,0,0,free,Mombasa,Kenya,Iconic landmark.
Mamba Village Centre,nature,-4.0280,39.7150,800,1500,entry,Mombasa,Kenya,Large crocodile farm.
Nyali Beach,relaxation,-4.0350,39.7150,0,0,free,Mombasa,Kenya,Popular public beach.
Mama Ngina Waterfront,relaxation,-4.0750,39.6780,0,0,free,Mombasa,Kenya,Oceanfront park.
Bombolulu Workshops,art,-4.0200,39.7100,300,600,entry,Mombasa,Kenya,Handicraft center by disabled artisans.
Bamburi Beach,relaxation,-4.0050,39.7300,0,0,free,Mombasa,Kenya,Lively beach area.
Mombasa Spice Market,shopping,-4.0620,39.6720,0,0,free,Mombasa,Kenya,Spice and produce market.
Jumba la Mtwana,history,-3.9500,39.7600,300,600,entry,Mombasa,Kenya,Ancient Swahili ruins.
Nguuni Nature Sanctuary,nature,-4.0150,39.7100,500,1000,entry,Mombasa,Kenya,Giraffe sanctuary with views.
Shimba Hills National Reserve,nature,-4.2250,39.4200,2000,3500,entry+guide,Mombasa,Kenya,Coastal forest reserve with wildlife.
Wild Waters,relaxation,-4.0285,39.7145,1000,2000,entry,Mombasa,Kenya,Water park.
Hindu Temple,culture,-4.0600,39.6650,0,0,free,Mombasa,Kenya,Historic temple.
Likoni Ferry,transport,-4.0800,39.6680,0,100,transport,Mombasa,Kenya,Iconic ferry crossing (pedestrians usually free).
Butterfly House,nature,-4.0665,39.6790,300,600,entry,Mombasa,Kenya,Butterfly exhibit near Fort Jesus.
Mtwapa Creek,nature,-3.9550,39.7550,0,800,boat,Mombasa,Kenya,Boat rides and seafood area.
Pirates Beach,relaxation,-3.9900,39.7350,0,0,free,Mombasa,Kenya,Popular public beach.
